country,population,age,suicide_rate
Vanuatu,283218,60-69,8.20
Mozambique,27696493,60-69,17.10
Jordan,9964656,60-69,5.80
Madagascar,25501941,60-69,18.40
Libya,6282196,60-69,7.20
Angola,29154746,60-69,23.80
Mali,18700106,60-69,20.80
Fiji,918371,60-69,5.30
Guinea,11930985,60-69,27.80
Malta,455356,60-69,3.80
Hungary,9814023,60-69,28.10
Guyana,759087,60-69,31.70
Iceland,335439,60-69,24.00
Morocco,35107264,60-69,4.60
Albania,2876101,60-69,6.00
Zimbabwe,14452704,60-69,41.30
Ireland,4755335,60-69,12.40
Finland,5495303,60-69,16.50
Namibia,2323352,60-69,19.70
Latvia,1959537,60-69,25.60
Lithuania,2868231,60-69,40.40
Jamaica,2802695,60-69,2.80
Australia,24190907,60-69,12.90
Guinea-Bissau,1834552,60-69,22.90
Italy,60627498,60-69,10.20
Afghanistan,34636207,60-69,5.50
Japan,127076000,60-69,20.80
Algeria,40339329,60-69,4.20
Luxembourg,582014,60-69,21.10
Ethiopia,105293228,60-69,24.70
Ghana,29554303,60-69,23.60
Myanmar,51892349,60-69,11.70
Israel,8546000,60-69,7.90
Lebanon,6258619,60-69,5.70
Indonesia,261850182,60-69,6.60
Lesotho,2143872,60-69,55.40
Kuwait,4048085,60-69,2.60
Grenada,119966,60-69,14.30
Malaysia,31526418,60-69,15.80
Kiribati,118513,60-69,14.50
Georgia,3727505,60-69,12.60
Maldives,454252,60-69,5.70
India,1338636340,60-69,17.50
Mauritius,1263747,60-69,6.40
Mexico,121519221,60-69,6.10
Zambia,16767761,60-69,25.80
Uzbekistan,31847900,60-69,7.10
Honduras,9460798,60-69,4.90
Montenegro,622303,60-69,17.90
Kenya,47894670,60-69,12.70
Liberia,4706097,60-69,45.30
Haiti,10713849,60-69,11.60
France,66724104,60-69,20.30
Kazakhstan,17794055,60-69,29.20
Guatemala,15827690,60-69,4.10
Uruguay,3413766,60-69,23.60
Iraq,38697943,60-69,5.60
Malawi,17405624,60-69,19.80
Argentina,43590368,60-69,10.00
Gabon,2086206,60-69,23.70
Greece,10775971,60-69,7.10
Mauritania,4051890,60-69,20.70
Armenia,2865835,60-69,10.10
Mongolia,3029555,60-69,12.50
"Antigua and Barbuda",90564,60-69,8.10
Germany,82348669,60-69,16.10
"Sao Tome and Principe",204632,60-69,4.90
China,1387790000,60-69,23.40
Barbados,278649,60-69,0.00
"Saudi Arabia",33416270,60-69,6.20
Tunisia,11685667,60-69,5.90
Comoros,746232,60-69,28.10
Colombia,47625955,60-69,8.70
Samoa,205544,60-69,12.60
Belarus,9469379,60-69,32.00
Seychelles,94677,60-69,16.80
"Central African Republic",4904177,60-69,23.80
"Sierra Leone",7493913,60-69,39.30
Canada,36109487,60-69,13.60
"Trinidad and Tobago",1469330,60-69,16.90
Senegal,14751356,60-69,33.70
Chile,18083879,60-69,12.90
Serbia,7058322,60-69,22.20
Chad,14592585,60-69,33.30
Croatia,4174349,60-69,25.50
Qatar,2595166,60-69,10.70
Cyprus,1197881,60-69,8.90
Bahrain,1409661,60-69,6.20
Cuba,11342012,60-69,25.70
Uganda,38748299,60-69,47.80
Rwanda,11930899,60-69,24.30
Romania,19702267,60-69,16.40
"Côte d'Ivoire",24213622,60-69,51.80
Turkmenistan,5868561,60-69,8.20
Bangladesh,159784568,60-69,7.70
"Russian Federation",144342397,60-69,30.80
"Costa Rica",4945205,60-69,8.30
Brazil,206859578,60-69,9.20
Sudan,39377169,60-69,5.70
Timor-Leste,1224562,60-69,11.50
Botswana,2352416,60-69,21.80
Suriname,581453,60-69,34.10
Spain,46484062,60-69,10.60
"Sri Lanka",21425494,60-69,19.00
"Brunei Darussalam",425994,60-69,7.30
Thailand,70607037,60-69,17.80
"Syrian Arab Republic",18964252,60-69,2.70
Bhutan,749761,60-69,12.60
Tajikistan,8725318,60-69,7.60
Sweden,9923085,60-69,17.30
Benin,11260085,60-69,36.60
"Bosnia and Herzegovina",3480986,60-69,12.70
Switzerland,8373338,60-69,21.50
Cambodia,15624584,60-69,10.20
Slovenia,2065042,60-69,26.70
"Solomon Islands",628102,60-69,8.90
Belgium,11331422,60-69,24.20
Tonga,105707,60-69,8.10
Singapore,5607283,60-69,15.60
Cameroon,23711630,60-69,46.30
"Cabo Verde",558394,60-69,44.40
"Burkina Faso",19275498,60-69,37.70
Togo,7661354,60-69,43.30
Bulgaria,7127822,60-69,15.40
Belize,367313,60-69,15.10
"South Sudan",11066105,60-69,14.40
Somalia,14292847,60-69,18.40
"South Africa",56422274,60-69,23.90
Burundi,10903327,60-69,31.00
Austria,8736668,60-69,17.80
Paraguay,6266615,60-69,8.30
"Papua New Guinea",8899169,60-69,10.60
Djibouti,1023261,60-69,17.50
Niger,20921743,60-69,22.80
"Equatorial Guinea",1398927,60-69,41.40
Denmark,5728010,60-69,17.10
Peru,31132779,60-69,8.30
Nicaragua,6389235,60-69,8.20
Eritrea,3365287,60-69,38.90
Ecuador,16439585,60-69,8.60
Pakistan,213524840,60-69,2.90
Oman,4398070,60-69,3.30
Norway,5234519,60-69,16.30
"United Arab Emirates",8994263,60-69,4.40
"Dominican Republic",10527592,60-69,15.40
Panama,4026336,60-69,4.20
"El Salvador",6250510,60-69,11.20
Nigeria,188666931,60-69,48.80
Netherlands,17030314,60-69,17.30
Czechia,10566332,60-69,17.00
Estonia,1315790,60-69,21.00
Portugal,10325452,60-69,18.10
Poland,37970087,60-69,21.70
Azerbaijan,9757812,60-69,4.50
Ukraine,45004673,60-69,25.00
"New Zealand",4714100,60-69,8.10
Philippines,104875266,60-69,4.10
Nepal,27861186,60-69,12.50
Eswatini,1142524,60-69,23.30
Nigeria,188666931,50-59,26.00
Somalia,14292847,50-59,12.40
"South Africa",56422274,50-59,24.70
Zambia,16767761,50-59,18.70
"Syrian Arab Republic",18964252,50-59,2.80
Kuwait,4048085,50-59,2.30
Jamaica,2802695,50-59,2.90
Nepal,27861186,50-59,10.80
Tajikistan,8725318,50-59,6.00
Norway,5234519,50-59,17.60
Tonga,105707,50-59,5.20
"Sri Lanka",21425494,50-59,17.00
Slovenia,2065042,50-59,26.40
Morocco,35107264,50-59,3.30
"Solomon Islands",628102,50-59,5.80
Thailand,70607037,50-59,17.00
Timor-Leste,1224562,50-59,7.70
Sweden,9923085,50-59,20.30
Kazakhstan,17794055,50-59,32.80
Sudan,39377169,50-59,6.70
Nicaragua,6389235,50-59,9.80
Suriname,581453,50-59,38.50
"New Zealand",4714100,50-59,14.60
Zimbabwe,14452704,50-59,29.40
Jordan,9964656,50-59,4.90
Myanmar,51892349,50-59,8.80
Niger,20921743,50-59,15.90
Kiribati,118513,50-59,10.40
Mozambique,27696493,50-59,11.50
Togo,7661354,50-59,24.80
"South Sudan",11066105,50-59,9.70
Switzerland,8373338,50-59,21.70
Kenya,47894670,50-59,8.40
Japan,127076000,50-59,23.90
Netherlands,17030314,50-59,19.30
Spain,46484062,50-59,11.80
Namibia,2323352,50-59,20.80
Mauritius,1263747,50-59,7.40
Rwanda,11930899,50-59,17.50
Romania,19702267,50-59,16.80
Philippines,104875266,50-59,3.80
Ukraine,45004673,50-59,29.80
"Russian Federation",144342397,50-59,37.70
Malawi,17405624,50-59,11.70
Uzbekistan,31847900,50-59,7.50
Luxembourg,582014,50-59,19.20
Mexico,121519221,50-59,5.90
Madagascar,25501941,50-59,11.30
Peru,31132779,50-59,7.20
Vanuatu,283218,50-59,5.10
Portugal,10325452,50-59,16.80
Uganda,38748299,50-59,29.60
Qatar,2595166,50-59,5.90
Malta,455356,50-59,13.20
Mali,18700106,50-59,12.60
