country,sex,suicide_rate
Afghanistan,Female,1.40
Afghanistan,Male,9.80
Albania,Female,3.90
Albania,Male,8.10
Algeria,Female,2.20
Algeria,Male,6.20
Angola,Female,14.50
Angola,Male,34.70
"Antigua and Barbuda",Female,15.80
"Antigua and Barbuda",Male,0.00
Argentina,Female,3.90
Argentina,Male,17.20
Armenia,Female,4.40
Armenia,Male,17.80
Australia,Female,6.20
Australia,Male,19.80
Austria,Female,9.00
Austria,Male,27.40
Azerbaijan,Female,2.10
Azerbaijan,Male,7.30
Bahamas,Female,0.90
Bahamas,Male,4.80
Bahrain,Female,3.20
Bahrain,Male,8.20
Bangladesh,Female,6.10
Bangladesh,Male,9.30
Barbados,Female,0.00
Barbados,Male,0.00
Belarus,Female,8.90
Belarus,Male,65.30
Belgium,Female,16.20
Belgium,Male,32.70
Belize,Female,4.10
Belize,Male,25.90
Benin,Female,27.60
Benin,Male,47.30
Bhutan,Female,11.20
Bhutan,Male,13.80
"Bolivia (Plurinational State of)",Female,10.00
"Bolivia (Plurinational State of)",Male,20.20
"Bosnia and Herzegovina",Female,4.20
"Bosnia and Herzegovina",Male,22.70
Botswana,Female,12.90
Botswana,Male,33.40
Brazil,Female,4.70
Brazil,Male,14.60
"Brunei Darussalam",Female,5.60
"Brunei Darussalam",Male,9.10
Bulgaria,Female,5.50
Bulgaria,Male,27.30
"Burkina Faso",Female,25.70
"Burkina Faso",Male,54.90
Burundi,Female,17.30
Burundi,Male,45.20
"Cabo Verde",Female,22.20
"Cabo Verde",Male,73.20
Cambodia,Female,7.10
Cambodia,Male,14.80
Cameroon,Female,38.00
Cameroon,Male,55.50
Canada,Female,6.20
Canada,Male,21.20
"Central African Republic",Female,14.10
"Central African Republic",Male,35.10
Chad,Female,36.40
Chad,Male,29.70
Chile,Female,4.10
Chile,Male,22.70
China,Female,22.60
China,Male,24.20
Colombia,Female,2.30
Colombia,Male,16.20
Comoros,Female,13.90
Comoros,Male,43.50
Congo,Female,12.20
Congo,Male,33.50
"Costa Rica",Female,1.30
"Costa Rica",Male,15.60
"Côte d'Ivoire",Female,33.00
